Country,Data source,Sector,Gas,Unit,2016,2015,2014,2013,2012,2011
Estonia,CAIT,Agriculture,CH4,MtCO₂e,0.66,0.7,0.69,0.67,0.66,0.65
Fiji,CAIT,Agriculture,CH4,MtCO₂e,0.66,0.66,0.65,0.65,0.65,0.65
Jordan,CAIT,Agriculture,CH4,MtCO₂e,0.65,0.56,0.56,0.51,0.49,0.49
Eswatini,CAIT,Agriculture,CH4,MtCO₂e,0.6,0.61,0.63,0.63,0.63,0.63
Israel,CAIT,Agriculture,CH4,MtCO₂e,0.58,0.59,0.57,0.55,0.53,0.53
Suriname,CAIT,Agriculture,CH4,MtCO₂e,0.5,0.49,0.51,0.49,0.46,0.49
Djibouti,CAIT,Agriculture,CH4,MtCO₂e,0.47,0.47,0.47,0.47,0.47,0.46
Luxembourg,CAIT,Agriculture,CH4,MtCO₂e,0.44,0.43,0.42,0.41,0.4,0.41
Bhutan,CAIT,Agriculture,CH4,MtCO₂e,0.42,0.42,0.44,0.47,0.46,0.47
Vanuatu,CAIT,Agriculture,CH4,MtCO₂e,0.34,0.34,0.34,0.33,0.33,0.33
Iceland,CAIT,Agriculture,CH4,MtCO₂e,0.31,0.32,0.31,0.29,0.3,0.31
Montenegro,CAIT,Agriculture,CH4,MtCO₂e,0.31,0.32,0.31,0.3,0.3,0.3
Jamaica,CAIT,Agriculture,CH4,MtCO₂e,0.31,0.34,0.34,0.35,0.35,0.34
Comoros,CAIT,Agriculture,CH4,MtCO₂e,0.25,0.24,0.23,0.22,0.22,0.21
Lebanon,CAIT,Agriculture,CH4,MtCO₂e,0.24,0.25,0.25,0.25,0.24,0.24
Liberia,CAIT,Agriculture,CH4,MtCO₂e,0.23,0.22,0.2,0.21,0.21,0.22
Gabon,CAIT,Agriculture,CH4,MtCO₂e,0.22,0.21,0.2,0.23,0.21,0.21
Cyprus,CAIT,Agriculture,CH4,MtCO₂e,0.17,0.16,0.17,0.17,0.18,0.19
Kuwait,CAIT,Agriculture,CH4,MtCO₂e,0.17,0.16,0.16,0.14,0.14,0.14
Belize,CAIT,Agriculture,CH4,MtCO₂e,0.17,0.16,0.15,0.18,0.16,0.17
Samoa,CAIT,Agriculture,CH4,MtCO₂e,0.15,0.16,0.15,0.14,0.14,0.14
Trinidad and Tobago,CAIT,Agriculture,CH4,MtCO₂e,0.09,0.1,0.1,0.1,0.09,0.09
Qatar,CAIT,Agriculture,CH4,MtCO₂e,0.08,0.25,0.15,0.19,0.16,0.15
Cape Verde,CAIT,Agriculture,CH4,MtCO₂e,0.06,0.06,0.06,0.06,0.06,0.06
Malta,CAIT,Agriculture,CH4,MtCO₂e,0.06,0.06,0.06,0.06,0.06,0.06
Tonga,CAIT,Agriculture,CH4,MtCO₂e,0.06,0.06,0.06,0.06,0.06,0.06
Solomon Islands,CAIT,Agriculture,CH4,MtCO₂e,0.06,0.06,0.06,0.06,0.05,0.05
